tick_neg,alpha_neg,tick_pos,alpha_pos
crl,-0.14833954,clpr,0.16283385
chkp,-0.1483003,gmgi,0.16281772
udr,-0.14753716,harp,0.1627049
enph,-0.14745353,celc,0.16251631
dpz,-0.14725766,nyc,0.16188566
bldr,-0.1470637,pbpb,0.16185051
dri,-0.14703137,wstg,0.1613923
wab,-0.14615342,oesx,0.16132629
lkq,-0.14567067,syrs,0.160521
fds,-0.14528616,nls,0.16046268
omc,-0.14525928,pine,0.1603832
mro,-0.14521168,pwfl,0.16009377
qsr,-0.14503086,cdak,0.16007693
mos,-0.14451729,ampy,0.15932664
nice,-0.14422907,mtem,0.15931167
mas,-0.14387779,sj,0.15885508
moh,-0.1437128,opnt,0.15863256
incy,-0.14289209,immr,0.15837905
ttwo,-0.14252958,fstr,0.15830387
j,-0.14204943,sotk,0.15789792
sre,-0.14196257,lyts,0.15768401
nlok,-0.14165464,inzy,0.15757176
cnp,-0.14134356,sien,0.15732305
aap,-0.1411512,kvhi,0.15726213
bmrn,-0.14112914,vrdn,0.15701523
qrvo,-0.14099357,rtx,0.15681675
iclr,-0.1408206,nnbr,0.15638405
nuan,-0.13994338,vnrx,0.15595092
tdy,-0.13993892,uba,0.15510286
sjm,-0.13927841,pnrg,0.15451202
dt,-0.13921276,ipof,0.15414138
mbt,-0.1388605,ngs,0.15408756
alny,-0.13885087,flxs,0.15399893
lumn,-0.13820112,pw,0.15277098
cck,-0.13810259,lake,0.15254976
arw,-0.13809422,wrap,0.15252729
podd,-0.13762838,iti,0.15244588
hwm,-0.1376005,fngr,0.15195209
ipg,-0.13755316,uihc,0.15178575
jhx,-0.1371805,pxlw,0.15129817
pwr,-0.13717099,fixx,0.15107471
tech,-0.13682075,apen,0.15062158
cf,-0.13637504,clnn,0.15052454
vici,-0.13586806,evi,0.15045159
trgp,-0.13581757,crmd,0.15005505
chrw,-0.13534683,vhc,0.14968006
spb,-0.1349079,mesa,0.14942807
vno,-0.13452438,slgl,0.14932549
els,-0.13427332,tffp,0.14927888
agr,-0.13407074,sncr,0.14888638
fbhs,-0.13386911,uti,0.14886904
csr,-0.1338247,surf,0.1486459
logi,-0.13342695,eml,0.14856385
evrg,-0.13246936,hrtg,0.1483915
mpw,-0.13244975,panl,0.14810492
dq,-0.1318094,spok,0.14805788
cboe,-0.13151816,rgco,0.14752975
jll,-0.13107303,mlp,0.14681871
whr,-0.13102692,cbay,0.14665152
stld,-0.13061102,whg,0.1462876
ato,-0.13016295,crnt,0.14628606
simo,-0.13006873,smti,0.14621672
ptc,-0.12987931,pmts,0.14618021
ndsn,-0.12987368,ncmi,0.14556251
znga,-0.12947676,vmd,0.14552347
masi,-0.12927757,qtnt,0.14550114
gddy,-0.12919949,gceh,0.14519788
morn,-0.12896855,hurc,0.14509794
avtr,-0.12815513,esea,0.14509523
mktx,-0.12779984,smid,0.14495715
rhi,-0.12768847,aacg,0.14475887
hst,-0.12740324,rvp,0.14470437
csl,-0.12739442,mram,0.14464338
abmd,-0.12720197,kalv,0.144627
fico,-0.12682825,alpn,0.1443192
irm,-0.12668556,etnb,0.14430256
mlco,-0.12589924,cwgl,0.1441881
gl,-0.12573333,mg,0.1441718
sedg,-0.12572978,sqz,0.14406405
plug,-0.12498698,chra,0.14399993
clf,-0.12497664,srt,0.14399037
otex,-0.124760166,camp,0.14381306
ldos,-0.124233864,xair,0.14370704
len,-0.123849384,esca,0.14369886
wrk,-0.12369108,edap,0.14294018
bki,-0.12359401,goed,0.14272003
cgnx,-0.12345333,expr,0.14264879
ovv,-0.123312555,gbox,0.14262347
ir,-0.12246029,trec,0.1423394
src,-0.12229725,clpt,0.14230162
jnpr,-0.12221839,epm,0.14165452
bwa,-0.121537656,linc,0.14119986
dva,-0.12143004,prtk,0.14118443
cday,-0.12112317,cofs,0.14032334
bah,-0.12090397,fldm,0.14031763
ni,-0.120705605,aout,0.14022528
vst,-0.12057798,inod,0.13988891
ivz,-0.12009327,cece,0.13938569
cien,-0.120049864,srts,0.13930927
aal,-0.119974606,rdcm,0.13916923
trex,-0.11995596,luna,0.13870072
exas,-0.11994861,byrn,0.13867481
lsi,-0.11948349,adn,0.13843518
zen,-0.119266845,wlfc,0.13708325
st,-0.11881029,smsi,0.13689104
cone,-0.11831755,rrgb,0.136443
xray,-0.11831288,eex,0.13643374
alle,-0.1176721,cmls,0.13624614
rs,-0.116706885,actg,0.13591844
jbl,-0.11646232,ear,0.13555685
hsic,-0.115869425,amrx,0.13544337
clvt,-0.11576098,ltrx,0.13523754
sci,-0.11557259,bbcp,0.13522021
tdoc,-0.11543427,asps,0.13470797
kim,-0.11540034,kirk,0.13457721
hubb,-0.11523608,hbio,0.13451786
midd,-0.115220696,axdx,0.13436325
lw,-0.11490308,vrca,0.13433702
acm,-0.11463351,hzn,0.13340402
anet,-0.11450381,iea,0.13225184
pcty,-0.11416385,glsi,0.131974
txg,-0.11377958,ags,0.13181973
azpn,-0.11298583,hqi,0.13157848
brkr,-0.11294834,pirs,0.13123477
mp,-0.1127782,hudi,0.13097325
wsm,-0.112446904,cvgi,0.13095424
htht,-0.11238891,dla,0.13091351
see,-0.1123754,vntr,0.13062999
ttc,-0.11219369,sb,0.1303675
rgen,-0.11156724,akus,0.12986726
glpi,-0.11136752,kmph,0.12984347
sr,-0.11111584,xoma,0.12964553
oc,-0.111030936,emkr,0.1294589
tpr,-0.11082228,scor,0.12904093
dox,-0.110479824,kndi,0.12900986
axon,-0.109968156,pasg,0.12837645
g,-0.10970495,swkh,0.12831873
fms,-0.109515294,rcel,0.12778836
coup,-0.10929984,cspr,0.12726136
mksi,-0.10878704,fuv,0.12721278
bhc,-0.10740392,tsbk,0.12713338
estc,-0.10689186,clvs,0.12698415
seic,-0.10650901,nxtd,0.12689514
wynn,-0.10640679,ctra,0.12689497
musa,-0.10627242,fora,0.1267237
agco,-0.10617102,hoft,0.126674
knx,-0.106143735,pkoh,0.12658308
avlr,-0.10554835,soi,0.12608553
uthr,-0.105484724,fthm,0.12593035
tpl,-0.10548032,nath,0.12571263
alv,-0.10545215,prvb,0.12562868
jef,-0.10542893,vra,0.12558118
coop,-0.10541511,rmbl,0.12533069
synh,-0.10534291,tgan,0.124979176
bj,-0.10478354,weys,0.124735676
manh,-0.10468462,regn,0.12469765
hun,-0.104520254,strs,0.12456099
ayi,-0.10395364,vktx,0.12454258
deck,-0.10369918,kopn,0.12453772
five,-0.10323116,wba,0.124439664
armk,-0.103098065,alt,0.12430927
cabo,-0.10304413,eols,0.12406878
syna,-0.102865145,pfsw,0.12371958
aer,-0.10271096,pke,0.12290076
chh,-0.10264739,mist,0.122828
teva,-0.10261669,leu,0.1226481
oln,-0.10258168,wprt,0.122500874
aem,-0.10249753,glng,0.12243716
aee,-0.10232572,jnce,0.12208873
gfi,-0.10218184,gnog,0.12176454
m,-0.10203773,cgen,0.121512346
nvax,-0.101998255,cue,0.121417694
lad,-0.101953745,gwrs,0.1203228
wsc,-0.10181161,akts,0.11966749
itt,-0.10175839,vor,0.119522214
wh,-0.10160822,hrow,0.11948668
jazz,-0.101562664,lndc,0.1193506
jks,-0.10145243,cybe,0.11923347
crox,-0.10140372,alco,0.11917673
bery,-0.10139397,nwpx,0.1191443
wms,-0.1012761,crdf,0.11895861
wtrg,-0.10126105,rlmd,0.11877558
pen,-0.10118827,pcyo,0.11875487
ar,-0.10109597,ngvc,0.11864545
peg,-0.10108954,gtyh,0.11834775
site,-0.10079962,bned,0.118041456
smg,-0.100578114,tmdx,0.11781411
fslr,-0.100478575,bcov,0.11759758
gntx,-0.10033393,dtrc,0.11742483
bhvn,-0.10004265,imux,0.11741469
wb,-0.09995816,infu,0.11738136
lscc,-0.099940255,mgta,0.1173593
wpc,-0.09987468,dtil,0.11700503
rh,-0.09980994,selb,0.1169849
fivn,-0.099517174,ssti,0.11663745
cpri,-0.09951065,qmco,0.11660439
dnb,-0.09932689,plpc,0.11658731
pag,-0.099220484,codx,0.11621698
ipgp,-0.09887381,zeus,0.116040595
leco,-0.098374896,nvec,0.11567217
gwre,-0.09833149,srra,0.1153441
axta,-0.09827979,fll,0.11532193
slab,-0.098270535,altg,0.11528964
lite,-0.09783063,ueps,0.11522367
docn,-0.09781178,avdl,0.11497443
vrt,-0.097772256,lcut,0.114876576
chdn,-0.09752692,omer,0.11405152
krc,-0.097509265,next,0.11326251
egp,-0.097309545,cogt,0.11319876
eslt,-0.09726903,kodk,0.11282967
hii,-0.09707239,mpaa,0.11224978
tol,-0.097001635,fcuv,0.111985154
czr,-0.09694539,spro,0.11196968
cube,-0.096759036,dlhc,0.11189273
an,-0.096672185,cnty,0.11174786
nnn,-0.09614298,tsha,0.11164679
nclh,-0.09574396,hbp,0.111514315
usfd,-0.09530995,egan,0.111396626
pltk,-0.09488448,powl,0.111296915
levi,-0.09473409,hear,0.11121631
acc,-0.09463376,pstx,0.111184366
gme,-0.09434402,cdr,0.11100485
pb,-0.094146945,rlgt,0.11077129
newr,-0.09386943,tufn,0.11048232
bfam,-0.093683146,ins,0.11014611
tndm,-0.09320122,utmd,0.11002386
pega,-0.09299064,inse,0.10974343
wix,-0.09268395,free,0.10941785
ttek,-0.09251495,bnft,0.10917332
lpx,-0.0924604,akba,0.10901967
gh,-0.09182268,nktx,0.10890139
stwd,-0.09140274,ikna,0.10887434
bld,-0.091397144,dhx,0.10878575
nvst,-0.09111327,silc,0.10851159
bc,-0.09080904,artna,0.10846604
jhg,-0.09079171,rytm,0.10839501
cubi,-0.0907208,rcky,0.10816408
oled,-0.09067169,nl,0.10800887
wlk,-0.090302765,apph,0.10796387
xpo,-0.09009075,brt,0.10781721
wex,-0.089988075,plse,0.10772921
pii,-0.08967623,notv,0.10769259
buff,-0.0888982,avnw,0.10765081
ohi,-0.08887399,wldn,0.10757757
esi,-0.08807539,rmo,0.10754659
hta,-0.08801713,axgn,0.10716448
nlsn,-0.08725977,prth,0.106583305
ppc,-0.08687522,xbit,0.10617766
ingr,-0.08681648,klr,0.10607051
omcl,-0.0867883,iii,0.104800835
byd,-0.086627185,lsea,0.104523584
gmed,-0.086542115,mrns,0.10383208
cold,-0.08648753,mlr,0.10358024
ccmp,-0.08632415,ff,0.1035701
saia,-0.08628383,fdmt,0.10321952
lfus,-0.08623625,axti,0.10312712
exp,-0.08602188,aeri,0.10306854
plan,-0.08587875,xxii,0.102909714
iac,-0.085749015,alto,0.10283367
alk,-0.08570136,gthx,0.102323554
mixt,-0.08535438,plrx,0.10231602
nov,-0.08524707,casa,0.1022803
alsn,-0.085236095,natr,0.10178082
pnr,-0.084758416,dhc,0.10172177
amcr,-0.08474793,ndls,0.10167811
rba,-0.084385745,mpx,0.101496354
eeft,-0.08423701,rdvt,0.101393476
penn,-0.08421427,ocn,0.101155855
insp,-0.083803415,atom,0.1009056
rng,-0.083695315,dsx,0.10086427
kbr,-0.083546676,aray,0.10073359
rgld,-0.08351272,sbow,0.10062498
atus,-0.08284548,cto,0.10028746
coty,-0.082659505,tg,0.100132786
caci,-0.08257609,apei,0.099977896
ash,-0.08195896,oyst,0.09979541
vvv,-0.0819085,hbcp,0.099181145
eme,-0.08189733,tci,0.099005625
nvcr,-0.0818839,laws,0.09895624
cohr,-0.081727885,atha,0.09892995
spr,-0.081527926,allt,0.09872672
nbix,-0.08152785,ctt,0.0985426
ntnx,-0.08146901,fmtx,0.097138084
brks,-0.081324585,stks,0.0970274
fl,-0.08128548,ufi,0.09687052
open,-0.0812167,fnch,0.09682988
dei,-0.080851026,nssc,0.09669068
pstg,-0.080693975,grvy,0.096552074
cuz,-0.08067357,ois,0.09654567
hei-a,-0.08044415,dzsi,0.09635874
cr,-0.079948075,vpg,0.095709234
foxf,-0.079910345,cpsi,0.09558422
wcc,-0.07960636,gilt,0.09549606
iaa,-0.07939389,ghl,0.09543691
gps,-0.07916573,wkhs,0.09522436
medp,-0.07845989,lqda,0.09504783
asgn,-0.07845493,qs,0.09481902
arna,-0.078269705,blbd,0.09448791
igt,-0.078001134,ryam,0.093867734
cybr,-0.077966996,spne,0.093769364
seas,-0.07783737,ocul,0.09375086
ntla,-0.07752861,tars,0.09362699
mfh,-0.077346794,ht,0.09358742
run,-0.07699895,llnw,0.09352767
aqn,-0.076799065,oric,0.0934238
mtdr,-0.076517045,dyn,0.09315581
mur,-0.076362774,cir,0.093072474
gpk,-0.076002926,cps,0.09276192
mime,-0.07565523,ooma,0.09221997
colm,-0.075615555,acet,0.0918452
algm,-0.0753298,apyx,0.09169544
yeti,-0.075244784,ehth,0.09151809
dsgx,-0.07516767,insw,0.09150936
nee,-0.07508957,spwh,0.091388285
cigi,-0.07489739,rptx,0.09123905
qfin,-0.07483797,vapo,0.09081343
hfc,-0.07472637,cste,0.09011356
tenb,-0.07433479,veru,0.090100326
sgms,-0.07433395,taco,0.089842595
amkr,-0.07424551,psnl,0.08982547
hog,-0.07418228,untc,0.089806825
txrh,-0.074158505,anik,0.089656085
irtc,-0.074039824,jfin,0.08944882
ssd,-0.073918894,tw,0.08935795
cw,-0.07373047,idya,0.089323655
novt,-0.07365559,vuzi,0.089042984
son,-0.073561355,vray,0.0889846
gt,-0.07353623,ptsi,0.088939905
prgo,-0.07336677,insg,0.088865526
ryn,-0.07286879,trc,0.088793956
msa,-0.072597854,rada,0.08868236
hhc,-0.07236668,ll,0.08855668
hbi,-0.07235926,loco,0.088200755
adt,-0.07222768,hffg,0.087935545
ufpi,-0.0722227,plym,0.087816246
rcm,-0.07197599,ctrn,0.087767035
vg,-0.07194835,fulc,0.08766354
crus,-0.07173759,tlry,0.087556124
tnet,-0.07170427,bbsi,0.08754681
nati,-0.071640976,ulh,0.08748068
clh,-0.07089206,dxpe,0.086921215
ncr,-0.07082073,mdxg,0.08668368
drvn,-0.07064786,cmrx,0.08652597
srpt,-0.07039751,tcs,0.08651231
am,-0.07038001,kron,0.08614812
hele,-0.070232056,vtnr,0.08547567
vir,-0.06997762,mcft,0.085386716
rpd,-0.0699433,chuy,0.08519472
rog,-0.06979984,cgem,0.085176654
mrtx,-0.06966858,sri,0.08502712
exel,-0.06925348,inve,0.084876746
oiim,-0.069141574,pets,0.08424624
tdc,-0.06908909,hzon,0.08393263
ntra,-0.069007985,prts,0.08368364
arwr,-0.068951964,poww,0.08341398
ugi,-0.068778686,pgen,0.08324841
wen,-0.06875027,dco,0.08306326
amba,-0.06842666,blue,0.082819775
srcl,-0.06798652,noa,0.08271635
bl,-0.06786906,yell,0.082473256
fcn,-0.06773348,repx,0.0823618
hayw,-0.06768741,tcda,0.082182504
bb,-0.067686856,djco,0.08196091
cdk,-0.06763894,btai,0.081821874
roll,-0.067294575,tdw,0.08092074
atkr,-0.066947654,siga,0.08074167
awi,-0.066859305,nvgs,0.080386676
cwk,-0.066785894,rna,0.08034702
smtc,-0.06665691,fosl,0.079587705
qdel,-0.06656604,vec,0.07924284
chx,-0.06620434,acrs,0.079212226
vnt,-0.066147014,smlr,0.0791592
bcpc,-0.066009894,centa,0.07903147
mgp,-0.06590886,lamr,0.078213885
mxl,-0.065677315,hayn,0.07815104
rhp,-0.06557568,icpt,0.07810891
hlf,-0.06542048,frph,0.07785717
hiw,-0.06486259,yorw,0.07769836
krnt,-0.06485171,albo,0.07726601
etrn,-0.064569764,thr,0.07721109
kfrc,-0.064486474,cnsl,0.077091895
onto,-0.064360715,wtba,0.07691369
wd,-0.06405441,knte,0.076655634
icui,-0.0639573,amot,0.076181106
mtsi,-0.06390315,co,0.07607847
qlys,-0.06369197,sxc,0.0760772
saic,-0.06362148,cara,0.075817995
powi,-0.06354051,ufpt,0.07532336
irdm,-0.063087806,kdny,0.07524049
hxl,-0.06295828,ipi,0.07510615
rdn,-0.06289511,zyme,0.07486371
amn,-0.06285544,tpc,0.074706316
unvr,-0.06276815,oust,0.07463644
sm,-0.0626423,tbph,0.07440132
sig,-0.06261195,ibcp,0.074281745
seb,-0.06258864,npk,0.07415628
crsp,-0.062476315,chs,0.07404556
zlab,-0.061931036,veri,0.07399385
aqua,-0.06190978,mirm,0.07393019
por,-0.061212055,rpt,0.073612295
gtes,-0.0611752,osur,0.07325678
fn,-0.060453348,efc,0.072843745
slgn,-0.060407497,ahh,0.07240311
ocdx,-0.05984761,rilyz,0.072343
wing,-0.0598028,osw,0.0721719
jbt,-0.05969138,puyi,0.07207133
halo,-0.05956492,stok,0.07195713
achc,-0.059400383,legh,0.07190051
ncno,-0.059326366,dhil,0.071873546
pk,-0.058913797,le,0.07181369
tsem,-0.05879354,grpn,0.07177209
adc,-0.05863209,dske,0.071680285
